"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","SF",353,19,43.3,332,380,176,171,175,1,1,1,1,"1",1.36,69.7,1
"2","Breece Hall","RB","NYJ",310,29.3,6.12,280,350,133,119,145,2,2,3,2,"1",4.98,57.2,49
"3","CeeDee Lamb","WR","DAL",347,27.4,13.1,322,391,127,115,147,3,3,2,1,"1",3.88,59.8,23
"4","Bijan Robinson","RB","ATL",304,26.9,27.9,271,336,126,110,131,4,4,5,3,"2",5.19,59,37
"5","Josh Allen","QB","BUF",412,32.3,11.1,367,454,123,106,136,5,6,4,1,"1",25.2,31.2,23
"6","Tyreek Hill","WR","MIA",334,23.9,21.7,308,370,114,101,126,6,8,6,2,"2",4.02,62.1,15
"7","Jalen Hurts","QB","PHI",401,25.8,1.3,366,435,112,105,117,7,7,10,2,"1",31.6,26,6
"8","Patrick Mahomes","QB","KC",400,27.7,24,367,441,111,106,123,8,5,7,3,"2",28.9,27.4,20
"9","Saquon Barkley","RB","PHI",276,33.1,7.25,240,323,98.5,78.8,118,9,11,8,4,"3",10.6,49.3,70
"10","Amon-Ra St. Brown","WR","DET",313,31.7,4.87,281,362,92.6,74.3,118,10,16,9,3,"2",7.5,54.6,54
"11","Jonathan Taylor","RB","IND",268,19.8,4.68,245,297,91.3,84.3,92.5,11,10,16,5,"3",10.2,50.2,7
"12","Justin Jefferson","WR","MIN",308,29.1,0.33,284,354,87.7,76.7,110,12,14,13,4,"2",8.64,54.4,45
"13","Ja'Marr Chase","WR","CIN",307,29.6,21.3,285,355,87.4,78.2,111,13,12,12,5,"3",7.92,53.4,46
"14","Lamar Jackson","QB","BAL",376,26.9,10.2,346,410,86.9,84.8,92,14,9,17,4,"2",36.2,22.8,9
"15","Jahmyr Gibbs","RB","DET",264,34.8,10.5,229,318,86.6,67.6,113,15,20,11,6,"4",15.2,42.7,73
"16","C.J. Stroud","QB","HOU",365,30.5,0.962,333,411,76.6,72,93.3,16,18,15,5,"2",48.2,15.8,46
"17","Kyren Williams","RB","LAR",253,28.2,5.25,226,299,76.1,64.6,94.2,17,21,14,7,"4",16.7,40.6,66
"18","Joe Burrow","QB","CIN",365,24.2,1.7,338,403,75.7,77.7,84.7,18,13,19,6,"3",58.3,13,26
"19","Dak Prescott","QB","DAL",363,19.5,5.47,337,387,74,76.6,69.1,19,15,28,7,"3",66.3,12.4,14
"20","Travis Kelce","TE","KC",228,19.9,1.06,206,257,72.1,70.3,76.3,20,19,23,1,"1",29,31,35
"21","Sam LaPorta","TE","DET",227,16.8,18.8,208,251,71.1,72,69.8,21,17,27,2,"2",34.2,24.3,21
"22","Travis Etienne","RB","JAC",248,20.6,5.62,224,277,70.9,63,72.7,22,22,24,8,"4",19.7,37.2,18
"23","Jordan Love","QB","GB",357,33.6,10.3,318,404,68.5,57.1,86.2,23,27,18,8,"3",69.8,10.6,71
"24","Puka Nacua","WR","LAR",286,23,2.25,263,322,66.1,56,77.9,24,29,20,6,"4",16.4,40.2,41
"25","Josh Jacobs","RB","GB",242,25.3,1.02,219,282,65.2,57.8,77,25,24,22,9,"4",29.2,31.1,55
"26","Rachaad White","RB","TB",241,18.1,0.938,221,267,64.2,60.2,62.5,26,23,30,10,"5",32.3,24.6,20
"27","A.J. Brown","WR","PHI",284,22.3,12,263,321,63.9,56.2,77.2,27,28,21,7,"4",12.1,48.5,11
"28","Alvin Kamara","RB","NO",241,16.4,1.18,216,259,63.3,55.4,53.9,28,30,35,11,"5",44.6,23.6,27
"29","Isiah Pacheco","RB","KC",239,17.2,4.69,218,265,62.1,57.2,59.8,29,26,32,12,"5",19.9,37,10
"30","Brock Purdy","QB","SF",347,22.6,2.42,315,372,58.2,54.6,54.2,30,31,34,9,"4",91.7,6.8,17
"31","Devon Achane","RB","MIA",235,27.7,0.517,203,277,57.4,42,72.1,31,39,25,13,"5",26.5,28.5,65
"32","James Cook","RB","BUF",234,24,3.89,206,272,56.9,45.1,66.9,32,35,29,14,"5",32.7,25.2,51
"33","Anthony Richardson","QB","IND",345,28.6,3.16,311,388,55.8,50.4,70.5,33,33,26,10,"4",56.1,14.1,66
"34","Derrick Henry","RB","BAL",230,21.4,1.29,197,252,53,36.3,47.7,34,42,40,15,"5",16.6,43.5,38
"35","Kyler Murray","QB","ARI",342,23.8,9.5,305,366,52.6,44.7,48,35,36,39,11,"4",70.2,12.6,11
"36","Trey McBride","TE","ARI",208,19,1.82,187,237,52.3,51.6,56.5,36,32,33,3,"2",54.2,15.5,38
"37","Garrett Wilson","WR","NYJ",272,21.1,16.5,249,305,51.9,42.4,61.1,37,38,31,8,"5",15.7,44.6,8
"38","Joe Mixon","RB","HOU",229,16.9,6.26,204,248,51.7,43,43.5,38,37,43,16,"6",36.5,26.8,3
"39","Mark Andrews","TE","BAL",206,13,8.63,193,226,50.5,57.8,45.5,39,25,42,4,"3",49.2,17.8,15
"40","Kenneth Walker III","RB","SEA",223,20.6,11.7,198,253,45.5,37.1,48.5,40,40,38,17,"6",37.7,22,21
"41","Jared Goff","QB","DET",332,26.1,2.8,295,364,43.1,34.2,46.3,41,46,41,12,"4",110,6.9,34
"42","Dalton Kincaid","TE","BUF",198,23.9,0.252,167,229,41.8,31,48.6,42,49,37,5,"3",61,12.1,47
"43","Evan Engram","TE","JAC",198,18.5,4.76,172,223,41.6,36.4,42.2,43,41,45,6,"3",75.3,10.9,26
"44","Caleb Williams","QB","CHI",329,25.5,1.43,297,359,40.3,36.1,41.3,44,44,47,13,"4",105,8.9,63
"45","Trevor Lawrence","QB","JAC",328,24,0.266,292,359,38.9,31.5,40.7,45,48,48,14,"4",120,5.14,51
"46","Tua Tagovailoa","QB","MIA",328,28.2,6.73,295,369,38.7,34.1,51.3,46,47,36,15,"5",107,6.4,43
"47","George Kittle","TE","SF",193,9.45,5.4,182,206,36.8,46,25.4,47,34,59,7,"4",58.9,13,1
"48","Davante Adams","WR","LVR",255,19,2.18,234,281,35.4,26.7,36.7,48,58,50,9,"5",28.4,35,38
"49","Aaron Jones","RB","MIN",211,17.2,6.92,191,235,33.7,29.9,30.5,49,50,55,18,"7",59.4,16.5,11
"50","Chris Olave","WR","NO",253,8.73,4.44,243,266,33.2,36.1,21.6,50,43,65,10,"6",31.1,28.7,1
"51","Justin Herbert","QB","LAC",321,24.8,0.807,289,351,31.9,28.5,32.9,51,52,53,16,"5",127,5.76,60
"52","Kyle Pitts","TE","ATL",187,17.4,8.06,170,217,31.4,34.7,35.9,52,45,51,8,"4",68.9,10.8,29
"53","Jayden Daniels","QB","WAS",320,28.9,1.04,283,355,31.1,22.7,37,53,61,49,17,"5",101,10.1,69
"54","Kirk Cousins","QB","ATL",319,30.3,1.87,282,360,30.1,21.6,42,54,62,46,18,"5",133,4.37,77
"55","Marvin Harrison Jr.","WR","ARI",249,15.6,1.96,228,267,28.7,21.2,23.2,55,64,62,11,"6",21.6,38.1,18
"56","Aaron Rodgers","QB","NYJ",317,23.8,6.41,288,352,28.2,27.6,34,56,56,52,19,"5",129,5.74,54
"57","Rhamondre Stevenson","RB","NE",204,19.4,3.85,189,237,26.8,27.8,32.5,57,54,54,19,"7",65.2,12.5,31
"58","Deebo Samuel","WR","SF",247,24.5,1.02,225,287,26.8,18.1,42.6,58,67,44,12,"6",29.2,27.2,69
"59","Nico Collins","WR","HOU",246,15.6,0.304,227,268,25.8,20.5,23.5,59,65,61,13,"6",30.8,25.2,25
"60","Drake London","WR","ATL",245,14.1,3.41,231,268,25.5,23.8,24.2,60,60,60,14,"6",29.6,28,4
"61","David Njoku","TE","CLE",179,11.9,0.547,165,198,23.3,29.8,17.5,61,51,70,9,"4",91.2,5.53,9
"62","James Conner","RB","ARI",200,21.9,4.84,177,230,23,16.1,25.6,62,72,57,20,"7",55.5,16.2,45
"63","Jake Ferguson","TE","DAL",179,9.2,15.5,164,188,22.8,28.3,7.57,63,53,83,10,"5",85.7,7.43,3
"64","Mike Evans","WR","TB",242,9.48,0.266,231,256,22.1,24.2,12,64,59,79,15,"6",30.8,29.9,3
"65","Matthew Stafford","QB","LAR",311,16.8,2.83,288,333,21.8,26.9,14.7,65,57,74,20,"6",139,4.68,1
"66","Cooper Kupp","WR","LAR",242,16.4,0.0156,217,262,21.8,10.5,17.7,66,81,69,16,"6",33.5,28.7,42
"67","Michael Pittman","WR","IND",242,18.5,0.651,221,270,21.8,14.5,26.3,67,73,56,17,"6",44.1,22.6,58
"68","DeVonta Smith","WR","PHI",241,13.1,0.475,224,257,21.1,17.4,13.3,68,69,76,18,"6",45.2,19.1,14
"69","Brandon Aiyuk","WR","SF",241,16.6,1.13,225,266,20.6,17.9,22.2,69,68,64,19,"6",37.4,22.6,39
"70","Stefon Diggs","WR","HOU",239,18.3,1.73,224,266,19.5,17.3,21.5,70,70,66,20,"6",46.6,20.2,65
"71","Baker Mayfield","QB","TB",308,14.8,2.92,289,326,19,27.8,8.13,71,55,82,21,"6",149,3.67,3
"72","Najee Harris","RB","PIT",195,17.1,0.99,178,224,18.1,17,18.9,72,71,68,21,"7",68.9,13.4,17
"73","D.J. Moore","WR","CHI",238,21.9,0.484,216,269,17.8,8.88,25.5,73,82,58,21,"6",43.1,22.4,59
"74","Jaylen Waddle","WR","MIA",237,15.4,0.509,220,257,17.3,13.6,12.7,74,74,77,22,"6",42.8,21.6,30
"75","Zamir White","RB","LVR",194,15.7,3.28,174,214,17.1,13,9.54,75,75,81,22,"7",65.2,12.5,25
"76","DK Metcalf","WR","SEA",237,14.3,8.73,225,260,16.8,18.1,16,76,66,71,23,"7",38.9,23.3,21
"77","Deshaun Watson","QB","CLE",305,18,7.86,282,332,16,21.5,13.7,77,63,75,22,"6",149,3.87,37
"78","David Montgomery","RB","DET",191,20.4,0.666,167,221,13.9,6.47,15.7,78,85,72,23,"7",62.5,14.1,32
"79","Javonte Williams","RB","DEN",190,17.8,0.555,174,220,13.2,12.6,15.4,79,76,73,24,"7",90.4,10.5,30
"80","Tony Pollard","RB","TEN",190,17.4,1.3,173,217,12.6,12.1,12.3,80,77,78,25,"8",81.9,9.47,24
"81","D'Andre Swift","RB","CHI",189,22.9,3.51,163,226,11.3,1.62,20.9,81,91,67,26,"8",63.1,13.5,52
"82","Geno Smith","QB","SEA",297,19.1,8.19,270,320,8.19,8.81,2.14,82,83,89,23,"7",154,2.76,31
"83","Amari Cooper","WR","CLE",228,16.2,1.98,208,250,8.05,1.5,5.54,83,92,85,24,"7",55.8,15.3,20
"84","Jaylen Warren","RB","PIT",185,11.7,0.476,172,202,7.83,11.5,-3.15,84,78,95,27,"8",96.2,5.84,6
"85","Devin Singletary","RB","NYG",185,24.7,0.827,165,228,7.36,4.46,23,85,87,63,28,"8",91.9,8.43,59
"86","Dallas Goedert","TE","PHI",163,13,7.28,147,180,7.28,11.2,-0.665,86,80,94,11,"6",116,4.18,12
"87","Raheem Mostert","RB","MIA",184,18.6,6.53,166,215,6.53,5.29,10,87,86,80,29,"8",68.6,11.6,34
"88","Zay Flowers","WR","BAL",226,8.86,0.363,218,240,6.07,11.3,-4.06,88,79,97,25,"7",66.4,11.3,10
"89","George Pickens","WR","PIT",226,16,0.0943,209,250,5.71,1.84,6.01,89,90,84,26,"7",61.9,11.3,37
"90","Malik Nabers","WR","NYG",226,12.9,1.14,211,246,5.62,3.82,2.14,90,88,88,27,"7",53.4,22,31
"91","Tee Higgins","WR","CIN",224,11.9,3.97,214,244,4.48,7.36,0,91,84,93,28,"7",63.2,13.7,6
"92","Chris Godwin","WR","TB",220,12.4,0.51,209,241,0.51,2.24,-3.23,92,89,96,29,"7",89.4,10.5,17
"93","Derek Carr","QB","NO",289,21.5,7.69,261,318,0,0,0,93,93,93,24,"7",163,4.54,29
"94","Austin Ekeler","RB","WAS",177,17.3,1.93,161,207,0,0,2.12,93,93,90,30,"8",95.2,8.64,48
"95","Christian Kirk","WR","JAC",220,15.6,2.83,203,246,0,-3.45,2,93,94,91,30,"8",80.3,9.23,35
"96","Brock Bowers","TE","LVR",156,25,7.28,116,181,0,-20.1,0,93,102,93,12,"7",108,7.61,68
"97","Tyjae Spears","RB","TEN",175,16.9,0.00367,155,200,-1.93,-5.94,-4.4,94,96,99,31,"8",101,5.04,23
"98","Brian Robinson","RB","WAS",175,19,2.93,148,200,-1.94,-12.7,-4.86,95,100,101,32,"8",87.4,7.83,35
"99","Keenan Allen","WR","CHI",217,26.1,0.426,184,248,-2.83,-22.8,4.31,96,107,86,31,"8",81.8,10.9,83
"100","Nathaniel Dell","WR","HOU",217,16.9,1.08,192,240,-3.25,-14.6,-4.08,97,101,98,32,"8",65.2,11.2,52
"101","Rashee Rice","WR","KC",216,9.06,1.24,202,225,-4.33,-4.8,-19,98,95,114,33,"8",75.2,10.6,28
"102","Zack Moss","RB","CIN",172,22,13.1,149,205,-4.86,-12,0,99,99,93,33,"9",94.6,7.78,56
"103","Terry McLaurin","WR","WAS",214,18.1,0.621,198,245,-5.57,-9.26,0.995,100,97,92,34,"8",75.8,12.3,51
"104","Calvin Ridley","WR","TEN",214,10.3,8.19,207,230,-6.19,0,-13.5,101,93,108,35,"8",76.7,10.6,13
"105","Dalton Schultz","TE","HOU",149,10.3,4.19,136,163,-7.28,0,-17.4,102,93,112,13,"7",128,3.81,6
"106","Daniel Jones","QB","NYG",281,24.5,8.07,251,312,-7.69,-10.2,-6.28,103,98,102,25,"7",170,3.46,57
"107","T.J. Hockenson","TE","MIN",145,29.4,1.76,104,183,-11.5,-31.8,2.36,104,116,87,14,"7",129,5.24,91
"108","Pat Freiermuth","TE","PIT",143,22,0.931,112,171,-13.2,-23.9,-10.2,105,111,105,15,"7",133,3.04,50
"109","Cole Kmet","TE","CHI",142,31.1,11.2,98.5,176,-14.2,-37.1,-4.49,106,122,100,16,"8",137,2.95,99
"110","Diontae Johnson","WR","CAR",206,16.2,2.2,187,230,-14.4,-20.2,-14.5,107,103,110,36,"8",94,7.97,34
"111","Will Levis","QB","TEN",273,29.5,12.1,228,307,-15.8,-33.2,-11,108,119,106,26,"8",153,2.37,80
