"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"112","Jayden Reed","WR","GB",203,18,8.74,184,230,-16.6,-22.8,-13.8,109,108,109,37,"9",85.8,5.06,49
"113","Chase Brown","RB","CIN",159,13.9,0.869,139,176,-18,-22.1,-29,110,105,121,34,"9",107,6.42,13
"114","Ezekiel Elliott","RB","DAL",158,13.9,3.41,138,175,-18.8,-23.1,-29.8,111,110,122,35,"9",115,5.28,41
"115","Jerome Ford","RB","CLE",155,25.2,8.9,119,184,-22.3,-42.5,-20.7,112,128,117,36,"10",110,6.59,63
"116","Jaxon Smith-Njigba","WR","SEA",195,19.7,1.85,171,223,-25.3,-35.4,-20.7,113,120,116,38,"9",107,5.23,55
"117","Tyler Conklin","TE","NYJ",131,13.1,3.62,113,149,-25.4,-22.9,-31.9,114,109,124,17,"8",157,2.08,44
"118","Jordan Addison","WR","MIN",193,20.5,0.336,165,220,-27.2,-41.8,-23.6,115,126,118,39,"9",119,3.41,68
"119","DeAndre Hopkins","WR","TEN",192,20.4,0.355,174,224,-27.5,-32.7,-19.5,116,117,115,40,"9",106,6.99,62
"120","Sam Darnold","QB","MIN",261,43,8.98,199,311,-27.8,-61.9,-6.81,117,155,103,27,"9",168,7.94,89
"121","Christian Watson","WR","GB",192,24.1,7.11,166,225,-27.9,-40.6,-18.6,118,124,113,41,"10",98.6,4.91,77
"122","Hunter Henry","TE","NE",127,11.9,2.14,113,144,-29,-22.2,-36.6,119,106,131,18,"8",161,1.93,24
"123","Juwan Johnson","TE","NO",125,21.5,3.02,96.6,156,-31.1,-39,-24.8,120,123,120,19,"9",174,3.04,74
"124","Nick Chubb","RB","CLE",146,32.7,2,110,196,-31.2,-50.6,-9.08,121,137,104,37,"10",92.9,9.67,94
"125","Gus Edwards","RB","LAC",144,35.5,1.46,96.2,192,-33.2,-64.8,-13.1,122,157,107,38,"10",104,5.94,90
"126","Chigoziem Okonkwo","TE","TEN",122,16.7,1.24,104,147,-34.2,-31.2,-33.4,123,115,126,20,"9",160,1.84,59
"127","Jonathon Brooks","RB","CAR",143,31,1.62,110,190,-34.6,-50.8,-15.2,124,138,111,39,"10",96.2,7.78,93
"128","Courtland Sutton","WR","DEN",185,6.95,3.99,178,196,-35,-28.7,-48,125,113,142,42,"10",112,5.8,7
"129","Cade Otton","TE","TB",121,9.4,0.247,107,132,-35.4,-28.6,-48.6,126,112,143,21,"9",167,1.64,18
"130","Taysom Hill","TE","NO",120,6.08,0.127,114,129,-35.6,-21.2,-52,127,104,148,22,"9",149,2.4,82
"131","Luke Musgrave","TE","GB",120,20.9,8.09,91.6,145,-35.8,-44,-36,128,129,130,23,"9",155,1.93,53
"132","Chuba Hubbard","RB","CAR",141,20.9,7.61,119,172,-36.2,-41.8,-32.6,129,127,125,40,"11",128,4.15,54
"133","Bo Nix","QB","DEN",252,22.4,5.43,228,283,-36.8,-32.8,-35,130,118,127,28,"9",148,5.1,49
"134","Jakobi Meyers","WR","LVR",181,24.3,1.48,157,220,-39,-49.4,-24.4,131,133,119,43,"10",139,3.23,76
"135","Ladd McConkey","WR","LAC",180,18.2,0.725,157,206,-40.4,-50.2,-37.6,132,135,134,44,"10",110,5.43,66
"136","Xavier Worthy","WR","KC",179,20.3,2.47,154,208,-41.2,-52.6,-35.5,133,140,128,45,"10",94,7.97,79
"137","Russell Wilson","QB","PIT",247,30.4,0.413,206,282,-42.3,-54.4,-35.8,134,143,129,29,"9",157,4.56,83
"138","Bryce Young","QB","CAR",246,24.6,33.5,206,263,-42.7,-54.2,-55.2,135,142,153,30,"10",170,3.79,40
"139","Jameson Williams","WR","DET",176,18.6,2.24,160,207,-43.6,-46.7,-36.7,136,130,132,46,"10",115,3.88,63
"140","Antonio Gibson","RB","NE",133,11.6,0.812,120,150,-43.8,-41.2,-55.2,137,125,151,41,"11",146,2.32,14
"141","Noah Fant","TE","SEA",112,10,6.18,99.5,126,-43.9,-36.2,-54.4,138,121,150,24,"10",165,2.05,41
"142","J.K. Dobbins","RB","LAC",133,26,4.99,98.8,166,-44.7,-62.2,-38.3,139,156,135,42,"11",123,5.6,82
"143","Marquise Brown","WR","KC",174,27,1.43,140,214,-45.9,-67.1,-30.3,140,160,123,47,"10",109,4.72,92
"144","Brian Thomas Jr.","WR","JAC",173,13.4,0.764,151,186,-47.3,-55.8,-57.5,141,147,155,48,"10",122,5.76,44
"145","Adam Thielen","WR","CAR",172,16,0.865,156,196,-48.1,-51.1,-47.5,142,139,141,49,"10",144,2.69,80
"146","Tyler Lockett","WR","SEA",171,9.36,0.731,157,183,-48.9,-49.9,-61.5,143,134,164,50,"10",143,4.2,27
"147","Rico Dowdle","RB","DAL",128,15.8,1.98,111,153,-49.6,-50.5,-51.8,144,136,147,43,"11",124,4.77,58
"148","Josh Palmer","WR","LAC",170,10.5,0.775,158,186,-49.7,-48.9,-58.3,145,132,157,51,"10",132,4.04,56
"149","Darren Waller","TE","FA",106,NA,5.48,106,106,-50,-29.6,-74.7,146,114,180,25,"10",NA,NA,NA
"150","Jerry Jeudy","WR","CLE",170,21.9,0.191,136,194,-50.4,-70.9,-49.6,147,162,144,52,"10",141,3.06,75
"151","Rome Odunze","WR","CHI",169,24.3,0.601,133,197,-50.6,-74.2,-46.7,148,168,139,53,"11",108,8.29,87
"152","Romeo Doubs","WR","GB",169,22.5,0.537,141,200,-51.2,-65.5,-44,149,158,137,54,"11",130,2.95,73
"153","Ty Chandler","RB","MIN",126,7.94,2.57,114,134,-51.6,-47.4,-70.3,150,131,174,44,"11",142,2.65,1
"154","Keon Coleman","WR","BUF",168,26.3,0.759,135,207,-51.8,-72.2,-37.4,151,164,133,55,"11",106,6.08,89
"155","Khalil Shakir","WR","BUF",167,15.4,1.79,149,190,-52.5,-58.2,-54.2,152,151,149,56,"11",126,3.45,70
"156","Zach Charbonnet","RB","SEA",123,13.4,3.16,105,140,-54.2,-56.2,-64.9,153,149,168,45,"11",135,2.23,4
"157","Brandin Cooks","WR","DAL",166,9.94,0.421,153,178,-54.3,-53.9,-66.5,154,141,169,57,"11",144,3.03,32
"158","Curtis Samuel","WR","BUF",165,24.2,0.0378,129,197,-54.7,-77.9,-47,155,170,140,58,"11",138,2.92,82
"159","Rashid Shaheed","WR","NO",165,14.3,5.32,147,186,-54.8,-59.5,-57.6,156,152,156,59,"11",144,2.42,48
"160","Jonnu Smith","TE","MIA",101,20.6,0.369,80.5,135,-55.5,-55.1,-46.1,157,144,138,26,"10",174,2.36,79
"161","Isaiah Likely","TE","BAL",100,19.2,5.1,80.2,129,-55.9,-55.4,-51.3,158,145,146,27,"11",154,2.45,65
"162","Jaleel McLaughlin","RB","DEN",120,12.3,2.99,105,135,-57.4,-55.7,-70.1,159,146,173,46,"12",139,3.07,15
"163","Demario Douglas","WR","NE",160,7.62,5.55,151,171,-60.1,-56.2,-73,160,148,178,60,"11",167,2.24,24
"164","Tyler Allgeier","RB","ATL",117,19.7,1.76,89.5,144,-60.3,-71.5,-61.2,161,163,163,47,"12",135,2.79,46
"165","Zach Ertz","TE","WAS",95,22.5,7.84,75,131,-61,-60.6,-49.9,162,153,145,28,"11",173,2.23,85
"166","Trey Benson","RB","ARI",115,24.8,0.528,80.7,150,-62.1,-80.3,-55.2,163,174,152,48,"12",120,5.55,72
"167","Blake Corum","RB","LAR",115,27.1,11.5,71.7,141,-62.6,-89.3,-63.7,164,187,166,49,"12",119,4.7,75
"168","Gabriel Davis","WR","JAC",154,23.8,3.13,123,185,-65.6,-84,-58.6,165,180,158,61,"12",154,2.55,86
"169","Mike Williams","WR","NYJ",151,34.9,3.04,91.3,182,-68.8,-116,-61.5,166,251,165,62,"12",140,3.44,97
"170","Mike Gesicki","TE","CIN",87.2,18.5,1.95,61.7,110,-68.8,-73.9,-70.5,167,166,175,29,"11",177,3.78,56
"171","Hayden Hurst","TE","LAC",85.3,23.9,2.38,50.1,113,-70.8,-85.6,-68.1,168,183,171,30,"12",170,0.972,88
"172","Wan'Dale Robinson","WR","NYG",148,15.2,1.5,128,171,-71.8,-78.4,-73.5,169,171,179,63,"12",177,1.72,61
"173","Daniel Bellinger","TE","NYG",82.9,26.7,0.129,52,121,-73.2,-83.7,-59.7,170,179,161,31,"12",170,1.14,94
"174","Josh Downs","WR","IND",147,25,0.483,120,187,-73.3,-86.6,-56.6,172,184,154,64,"12",155,1.37,93
"175","Tyler Higbee","TE","LAR",82.7,15,1.22,63,104,-73.3,-72.6,-77.1,171,165,185,32,"12",170,2.02,71
"176","Darnell Mooney","WR","ATL",146,32.4,1.08,96.1,180,-73.8,-111,-64.1,173,229,167,65,"12",158,2.62,99
"177","Khalil Herbert","RB","CHI",103,20.6,0.14,80.5,132,-74.1,-80.5,-72.7,174,175,177,50,"12",152,2.37,68
"178","Kareem Hunt","RB","FA",103,NA,10.3,103,103,-74.2,-58,-102,175,150,230,51,"13",NA,NA,99
"179","Kylen Granson","TE","IND",81.5,12.2,0.307,68.2,100,-74.5,-67.4,-80.7,176,161,188,33,"12",170,1.33,62
"180","Greg Dulcich","TE","DEN",81.2,24.2,0.537,53.3,120,-74.8,-82.3,-60.7,177,178,162,34,"12",184,1.93,97
"181","John Stephens Jr.","WR","DAL",145,0,0.753,145,145,-74.9,-61.8,-98.9,178,154,223,66,"12",NA,NA,1
"182","Tucker Kraft","TE","GB",80.7,7.66,3.1,69,89.6,-75.4,-66.6,-91.1,179,159,203,35,"12",171,1.63,32
"183","Michael Wilson","WR","ARI",144,25,7.97,118,185,-75.6,-88.8,-59.5,180,186,159,67,"12",161,1.84,85
"184","Gardner Minshew","QB","LVR",213,43.9,45.7,154,274,-76.2,-107,-43.3,181,218,136,31,"11",157,4.67,86
"185","Gerald Everett","TE","CHI",77.6,23,0.215,55.3,114,-78.5,-80.3,-66.7,182,173,170,36,"12",170,0,76
"186","Dontayvion Wicks","WR","GB",136,20.5,0.703,110,165,-83.6,-97.2,-78.8,187,198,187,68,"13",153,2.69,90
"187","Ja'Lynn Polk","WR","NE",136,42.2,6.86,70.2,167,-84.3,-137,-77,188,335,184,69,"13",153,2.89,99
"188","Bucky Irving","RB","TB",92.7,13.2,1.98,76.5,112,-84.6,-84.5,-92.7,189,182,206,52,"13",153,3.64,44
"189","Ray Davis","RB","BUF",90.7,17.5,0.972,74.3,118,-86.5,-86.7,-86.5,194,185,194,53,"13",148,3.29,62
"190","MarShawn Lloyd","RB","GB",89.7,20.2,1.86,61.6,119,-87.5,-99.4,-86.2,195,201,193,54,"13",146,3.29,69
"191","Jamaal Williams","RB","NO",87.9,7.02,1.44,79.9,97.8,-89.4,-81.1,-107,197,176,239,55,"13",176,2.87,8
"192","Jordan Mason","RB","SF",86.4,19.5,0.994,57.8,112,-90.8,-103,-93.1,198,206,209,56,"13",160,3.44,89
"193","Demarcus Robinson","WR","LAR",129,20.7,1.12,97.5,156,-91.2,-109,-87.6,199,226,196,70,"13",170,1.9,96
"194","Alexander Mattison","RB","LVR",85.4,13.6,2.15,67.2,104,-91.8,-93.8,-101,200,193,225,57,"14",174,2.17,39
"195","Marvin Mims","WR","DEN",128,14,0.148,112,148,-92.3,-94.8,-96,201,195,219,71,"13",180,2.1,72
"196","Xavier Legette","WR","CAR",128,26.5,0.222,99.4,169,-92.4,-107,-75.5,202,219,182,72,"13",154,3.55,94
"197","Braelon Allen","RB","NYJ",83.3,17.3,4.66,64.8,112,-94,-96.2,-93,204,196,207,58,"14",158,4.07,61
"198","Roschon Johnson","RB","CHI",78.6,26.3,0.436,49.4,117,-98.6,-112,-88.2,212,234,197,59,"14",171,1.17,77
"199","Samaje Perine","RB","DEN",78.2,23.8,0.126,47.8,113,-99.1,-113,-92.1,213,241,204,60,"14",166,2.21,83
"200","Tyrone Tracy","RB","NYG",78,22.6,3.75,48.5,112,-99.2,-112,-93.1,214,236,208,61,"14",156,3.43,92
"201","Miles Sanders","RB","CAR",74.3,23.9,0.0407,41.7,105,-103,-119,-99.8,217,264,224,62,"14",177,2.04,79
"202","Jerick McKinnon","RB","FA",74.2,16.6,1.33,63.7,84.8,-103,-97.3,-120,218,199,259,63,"14",NA,NA,99
"203","Kenneth Gainwell","RB","PHI",72.9,32.1,4.92,28.7,115,-104,-132,-89.7,221,323,201,64,"14",172,1.51,87
"204","Justice Hill","RB","BAL",68,28.1,0.155,31.7,108,-109,-129,-97.2,228,307,221,65,"15",171,2.88,86
"205","Clyde Edwards-Helaire","RB","KC",67.8,22.1,2.91,36.1,91.2,-109,-125,-114,229,280,249,66,"15",174,1.94,85
"206","Jaylen Wright","RB","MIA",64.9,35.6,1.42,14.8,110,-112,-146,-94.7,237,355,214,67,"15",140,3.35,97
"207","Dameon Pierce","RB","HOU",63.5,7.63,2.2,54.4,74.1,-114,-107,-131,239,215,281,68,"15",165,1.68,42
"208","Audric Estime","RB","DEN",61.3,25.5,0.28,25,92.2,-116,-136,-113,244,332,247,69,"15",167,2.63,80
"209","Tank Bigsby","RB","JAC",61,11.7,1.19,43.4,73.3,-116,-118,-132,245,258,282,70,"15",174,1.28,28
"210","DOnta Foreman","RB","CLE",59.8,13.9,3.4,44.3,78,-117,-117,-127,247,255,270,71,"15",182,1.62,76
"211","Kimani Vidal","RB","LAC",56.4,32.8,1.17,15.4,101,-121,-146,-104,258,352,235,72,"15",147,1.93,96
"212","Drake Maye","QB","NE",167,77,47.8,63.2,258,-122,-198,-59.5,262,510,160,32,"12",136,6.47,94
"213","Jacoby Brissett","QB","NE",119,79.3,6.79,45.9,235,-170,-215,-82.5,432,553,191,33,"12",170,2.3,97
"214","Justin Fields","QB","PIT",112,53.1,35.5,53.2,188,-176,-207,-130,447,552,277,34,"13",176,3.44,91
"215","Aidan O'Connell","QB","LVR",76.9,39.1,6.91,30.1,128,-212,-231,-189,534,555,434,35,"13",170,3.14,74
"216","Taysom Hill","QB","NO",70,10.1,12.9,60.1,75.8,-219,-201,-242,553,523,554,36,"14",149,2.4,99
